hotel_name,city,country,price_per_night_text,price_per_night,rating,review_count_text,review_count,stars,location,amenities
Colline Dalat,Dalat,Vietnam,"₫ 1,310,227",1310227,8.7 Excellent,"5,633 reviews",5633.0,4.0,"Dalat City Center, Dalat - City center","['Breakfast', 'Welcome drink', 'Parking', '+4']"
Mercure Dalat Resort,Dalat,Vietnam,"₫ 2,853,000",2853000,8.8 Excellent,"2,061 reviews",2061.0,4.0,"Old Train Station, Dalat - 1.7 km to center","['Breakfast', 'Free WiFi']"
The Western Hill Hotel,Dalat,Vietnam,"₫ 775,324",775324,7.9 Very good,"2,663 reviews",2663.0,4.0,"Dalat City Center, Dalat - City center","['Breakfast', 'Welcome drink', 'Parking', '+5']"
Artis Hotel Dalat,Dalat,Vietnam,"₫ 684,021",684021,9.1 Exceptional,"2,154 reviews",2154.0,3.0,"Dalat City Center, Dalat - City center","['Welcome drink', 'Parking', 'Express check-in', '+1']"
Homestay Gấu,Dalat,Vietnam,"₫ 1,053,598",1053598,,,,1.0,"Dalat City Center, Dalat - 1.0 km to center",['Wi-Fi']
Olagi Hotel 2,Dalat,Vietnam,"₫ 202,315",202315,8.9 Excellent,96 reviews,96.0,3.0,"Xuan Huong Lake, Dalat - 1.4 km to center",['Free WiFi']
Huyen 179 Hotel,Dalat,Vietnam,"₫ 498,153",498153,9.1 Exceptional,"1,251 reviews",1251.0,2.0,"Dalat City Center, Dalat - City center",[]
Le Recit Boutique Hotel de Dalat,Dalat,Vietnam,"₫ 1,131,658",1131658,8.9 Excellent,"2,924 reviews",2924.0,4.0,"Dalat City Center, Dalat - City center","['Breakfast', 'Parking', 'Free Premium Wifi', '+2']"
Dalat Palace Heritage Hotel,Dalat,Vietnam,"₫ 2,295,948",2295948,8.8 Excellent,"1,749 reviews",1749.0,5.0,"Dalat City Center, Dalat - 0.4 km to center","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Michelia Valley Hotel,Dalat,Vietnam,"₫ 158,056",158056,9.0 Exceptional,118 reviews,118.0,2.0,"Tuyen Lam Lake, Dalat - 1.9 km to center",['Free WiFi']
New Life Hotel Dalat,Dalat,Vietnam,"₫ 606,196",606196,8.6 Excellent,"2,424 reviews",2424.0,3.0,"Dalat City Center, Dalat - 1.8 km to center","['Breakfast', 'Welcome drink', 'Parking', '+4']"
Dalat Edensee Lake Resort & Spa,Dalat,Vietnam,"₫ 1,146,798",1146798,8.5 Excellent,"2,400 reviews",2400.0,5.0,"Tuyen Lam Lake, Dalat - 5.3 km to center","['Breakfast', 'Free fitness center access', '+5']"
Melia Vinpearl Hue,Hue,Vietnam,"₫ 1,734,778",1734778,9.4 Exceptional,"8,387 reviews",8387.0,5.0,"Hue City, Hue - City center","['Breakfast', 'Free gift', 'Free WiFi', '+5']"
Muong Thanh Holiday Hue Hotel,Hue,Vietnam,"₫ 1,057,268",1057268,8.5 Excellent,"1,839 reviews",1839.0,4.0,"Perfume River, Hue - City center","['Breakfast', 'Welcome drink', 'Late check-out', '+3']"
Ancient Hue Garden Houses,Hue,Vietnam,"₫ 2,388,229",2388229,9.5 Exceptional,702 reviews,702.0,5.0,"Imperial Citadel, Hue - 2.2 km to center","['Breakfast', 'Welcome drink', '+5']"
LA VELA HUE HOTEL,Hue,Vietnam,"₫ 1,004,265",1004265,9.2 Exceptional,"2,036 reviews",2036.0,5.0,"Hue City, Hue - 2.9 km to center","['Breakfast', 'Free fitness center access', '+5']"
CasaWa Homestay Hue,Hue,Vietnam,"₫ 789,390",789390,8.1 Excellent,20 reviews,20.0,,"Imperial Citadel, Hue - 1.4 km to center",[]
Magnolia Boutique Hue,Hue,Vietnam,"₫ 555,556",555556,9.2 Exceptional,71 reviews,71.0,4.0,"Hue City, Hue - 0.9 km to center","['Parking', 'Free WiFi']"
TTC Imperial Hotel,Hue,Vietnam,"₫ 1,332,674",1332674,9.0 Exceptional,"4,364 reviews",4364.0,5.0,"Hue City, Hue - City center","['Breakfast', 'Free fitness center access', '+5']"
Moonlight Hotel Hue,Hue,Vietnam,"₫ 608,295",608295,8.8 Excellent,"2,784 reviews",2784.0,4.0,"Hue City, Hue - City center","['Breakfast', 'Free fitness center access', '+3']"
Kly Luxury Hotel,Hue,Vietnam,"₫ 382,310",382310,9.2 Exceptional,320 reviews,320.0,,"Hue City, Hue - City center","['Late check-out', 'Parking', 'Car rental', '+4']"
Huong Giang Hotel Resort & Spa,Hue,Vietnam,"₫ 739,277",739277,8.5 Excellent,"4,006 reviews",4006.0,4.0,"Perfume River, Hue - City center","['Breakfast', 'Free fitness center access', '+5']"
Senna Hue Hotel,Hue,Vietnam,"₫ 1,513,228",1513228,9.4 Exceptional,"3,701 reviews",3701.0,5.0,"Hue City, Hue - City center","['Breakfast', 'Free fitness center access', '+6']"
White Lotus Hue Hotel,Hue,Vietnam,"₫ 1,006,982",1006982,9.3 Exceptional,"3,944 reviews",3944.0,4.0,"Hue City, Hue - City center","['Breakfast', 'Free fitness center access', '+4']"
June Homestay Huế,Hue,Vietnam,"₫ 816,906",816906,,,,2.0,"Hue City, Hue - City center","['Airport transfer', 'Wi-Fi']"
The Chum Boutique,Hue,Vietnam,"₫ 464,973",464973,9.2 Exceptional,700 reviews,700.0,3.0,"Hue City, Hue - City center",['Free WiFi']
Villa Hue,Hue,Vietnam,"₫ 56,222,222",56222222,,,,,"Phong Son, Hue - 6.4 km to center",[]
Silk Path Grand Hue Hotel,Hue,Vietnam,"₫ 1,883,755",1883755,9.4 Exceptional,"1,967 reviews",1967.0,5.0,"Hue City, Hue - 0.7 km to center","['Breakfast', 'Free fitness center access', '+3']"
Thanh Lich Royal Boutique Hotel,Hue,Vietnam,"₫ 1,194,074",1194074,9.1 Exceptional,"4,188 reviews",4188.0,4.0,"Hue City, Hue - City center","['Breakfast', 'Free fitness center access', '+5']"
Mondial Hotel Hue,Hue,Vietnam,"₫ 679,377",679377,8.5 Excellent,"2,461 reviews",2461.0,4.0,"Hue City, Hue - 0.4 km to center","['Breakfast', 'Free fitness center access', '+6']"
Saigon Morin Hotel,Hue,Vietnam,"₫ 1,111,487",1111487,8.7 Excellent,"3,936 reviews",3936.0,4.0,"Perfume River, Hue - City center","['Breakfast', 'Free fitness center access', '+2']"
Alba Spa Hotel,Hue,Vietnam,"₫ 719,493",719493,9.0 Exceptional,"2,867 reviews",2867.0,4.0,"Hue City, Hue - City center","['Breakfast', 'Welcome drink', 'Late check-out', '+7']"
