hotel_name,city,country,price_per_night,rating,rating_status,review_count,stars,location,distance_to_center,transportation_options,amenities
Fivitel Da Nang Hotel,Da Nang,Vietnam,766033,,8.9Excellent,5569,4.0,"Phước Mỹ, Da Nang",1.3,"['Da Nang Railway Station', 'Da Nang Central Bus Station']","['Breakfast', 'Free fitness center access', '+6']"
Radisson Hotel Danang,Da Nang,Vietnam,2023810,,9.0Exceptional,4714,5.0,"Phước Mỹ, Da Nang",2.1,"['Da Nang Railway Station', 'Da Nang Central Bus Station', 'Parking']","['Breakfast', 'Parking', 'Free Premium Wifi', '+7']"
Havana Nha Trang Hotel,Nha Trang,Vietnam,1105972,,9.0Exceptional,19996,5.0,"Loc Tho, Nha Trang",0.2,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
Nha Trang Palace Hotel,Nha Trang,Vietnam,481964,,8.6Excellent,3045,4.0,"Loc Tho, Nha Trang",0.7,"['Nha Trang Railway Station', 'Lien Tinh Bus Station', 'Parking']","['Breakfast', 'Parking', 'Free Premium Wifi', '+3']"
Panorama Nha Trang Star Beach,Nha Trang,Vietnam,597983,,8.5Excellent,4042,5.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free WiFi', 'Free fitness center access']"
Pavillon Boutique Hotel & Apartment Nha Trang,Nha Trang,Vietnam,310922,,8.9Excellent,1880,4.0,"Loc Tho, Nha Trang",0.0,['Nha Trang Railway Station'],"['Welcome drink', 'Free Premium Wifi', 'Free WiFi']"
Mojzo Inn Boutique,Nha Trang,Vietnam,508769,,9.2Exceptional,5013,2.0,"Loc Tho, Nha Trang",0.0,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']",[]
Radisson Blu Resort Cam Ranh,Nha Trang,Vietnam,2777778,,8.8Excellent,3904,5.0,"Cam Hải Đông, Nha Trang",19.5,['Parking'],"['Breakfast', 'Parking', 'Lunch', 'Free WiFi', '+2']"
Muong Thanh Luxury Khanh Hoa,Nha Trang,Vietnam,900392,,8.9Excellent,3146,5.0,"Xuong Huan, Nha Trang",1.6,"['Nha Trang Railway Station', 'Lien Tinh Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
KIM THANH BOUTIQUE HOTEL NHA TRANG,Nha Trang,Vietnam,271467,,8.5Excellent,171,4.0,"Loc Tho, Nha Trang",0.0,[],"['Breakfast', 'Free Premium Wifi', '+4']"
